id_alumne,id_professor,dia,franja,materia,grup_curs,tipus_falta,comentari
126,450,2014-10-06,12:50:00-13:45:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Absència,
126,450,2014-10-06,13:45:00-14:45:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Absència,
59,440,2014-10-06,09:15:00-10:15:00,(LC2)Llengua catalana i literatura,(ESO LOE 2 B) 2 ESO B,Absència,
123,450,2014-10-07,10:40:00-11:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
125,450,2014-10-07,10:40:00-11:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
122,450,2014-10-07,10:40:00-11:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
126,450,2014-10-07,10:40:00-11:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
61,450,2014-10-07,10:40:00-11:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
127,450,2014-10-07,10:40:00-11:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
278,450,2014-10-07,11:35:00-12:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
123,450,2014-10-07,11:35:00-12:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
125,450,2014-10-07,11:35:00-12:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
61,450,2014-10-07,11:35:00-12:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
126,450,2014-10-07,11:35:00-12:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
122,450,2014-10-07,11:35:00-12:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
127,450,2014-10-07,11:35:00-12:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
278,450,2014-10-07,12:50:00-13:45:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Justificada,
123,450,2014-10-07,12:50:00-13:45:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Justificada,
125,450,2014-10-07,12:50:00-13:45:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Justificada,
122,450,2014-10-07,12:50:00-13:45:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Justificada,
126,450,2014-10-07,12:50:00-13:45:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Justificada,
61,450,2014-10-07,12:50:00-13:45:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Justificada,
127,450,2014-10-07,12:50:00-13:45:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Justificada,
278,450,2014-10-07,10:40:00-11:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
278,450,2014-10-08,08:15:00-09:15:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
123,450,2014-10-08,08:15:00-09:15:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
125,450,2014-10-08,08:15:00-09:15:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
122,450,2014-10-08,08:15:00-09:15:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
126,450,2014-10-08,08:15:00-09:15:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
61,450,2014-10-08,08:15:00-09:15:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
127,450,2014-10-08,08:15:00-09:15:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
278,450,2014-10-08,10:40:00-11:35:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Justificada,
123,450,2014-10-08,10:40:00-11:35:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Justificada,
125,450,2014-10-08,10:40:00-11:35:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Justificada,
122,450,2014-10-08,10:40:00-11:35:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Justificada,
126,450,2014-10-08,10:40:00-11:35:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Justificada,
61,450,2014-10-08,10:40:00-11:35:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Justificada,
127,450,2014-10-08,10:40:00-11:35:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Justificada,
278,450,2014-10-08,11:35:00-12:35:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Justificada,
123,450,2014-10-08,11:35:00-12:35:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Justificada,
125,450,2014-10-08,11:35:00-12:35:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Justificada,
122,450,2014-10-08,11:35:00-12:35:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Justificada,
126,450,2014-10-08,11:35:00-12:35:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Justificada,
61,450,2014-10-08,11:35:00-12:35:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Justificada,
127,450,2014-10-08,11:35:00-12:35:00,UF1. Ofimàtica i eines web,(CFPM IC10 C) 3 CFPM,Justificada,
123,450,2014-10-08,09:15:00-10:15:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
125,450,2014-10-08,09:15:00-10:15:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
122,450,2014-10-08,09:15:00-10:15:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
126,450,2014-10-08,09:15:00-10:15:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
61,450,2014-10-08,09:15:00-10:15:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
127,450,2014-10-08,09:15:00-10:15:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
278,450,2014-10-08,09:15:00-10:15:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Justificada,
76,443,2014-10-09,11:35:00-12:35:00,(TE2)Tecnologies,(ESO LOE 2 B) 2 ESO B,Absència,
59,443,2014-10-09,11:35:00-12:35:00,(TE2)Tecnologies,(ESO LOE 2 B) 2 ESO B,Absència,
78,443,2014-10-09,11:35:00-12:35:00,(TE2)Tecnologies,(ESO LOE 2 B) 2 ESO B,Absència,
267,450,2014-10-10,12:50:00-13:45:00,UF1. Introducció als sistemes operatius.,(CFPM AG10 A) 1 CFPM,Justificada,
267,450,2014-10-10,13:45:00-14:45:00,UF1. Introducció als sistemes operatius.,(CFPM AG10 A) 1 CFPM,Justificada,
266,450,2014-10-10,12:50:00-13:45:00,UF1. Introducció als sistemes operatius.,(CFPM AG10 A) 1 CFPM,Absència,
266,450,2014-10-10,13:45:00-14:45:00,UF1. Introducció als sistemes operatius.,(CFPM AG10 A) 1 CFPM,Absència,
38,443,2014-10-13,08:15:00-09:15:00,(TE2)Tecnologies,(ESO LOE 2 A) 2 ESO A,Justificada,
158,443,2014-10-13,08:15:00-09:15:00,(TE2)Tecnologies,(ESO LOE 2 A) 2 ESO A,Justificada,
155,443,2014-10-13,08:15:00-09:15:00,(TE2)Tecnologies,(ESO LOE 2 A) 2 ESO A,Justificada,
111,443,2014-10-13,09:15:00-10:15:00,(TE2)Tecnologies,(ESO LOE 2 C) 2 ESO C,Absència,
76,458,2014-10-13,08:15:00-09:15:00,(EV2)Educació visual i plàstica,(ESO LOE 2 B) 2 ESO B,Absència,
59,458,2014-10-13,08:15:00-09:15:00,(EV2)Educació visual i plàstica,(ESO LOE 2 B) 2 ESO B,Absència,
83,448,2014-10-13,10:40:00-11:35:00,(TE3)Tecnologies,(ESO LOE 3 A) 3 ESO A,Justificada,
319,447,2014-10-13,09:15:00-10:15:00,(IA4)Llengua estrangera Anglès,(ESO LOE 4 B) 4 ESO B,Absència,
300,447,2014-10-13,09:15:00-10:15:00,(IA4)Llengua estrangera Anglès,(ESO LOE 4 B) 4 ESO B,Absència,
182,458,2014-10-13,11:35:00-12:35:00,(EV2)Educació visual i plàstica,(ESO LOE 2 A) 2 ESO A,Justificada,
168,458,2014-10-13,11:35:00-12:35:00,(EV2)Educació visual i plàstica,(ESO LOE 2 A) 2 ESO A,Justificada,
38,458,2014-10-13,11:35:00-12:35:00,(EV2)Educació visual i plàstica,(ESO LOE 2 A) 2 ESO A,Justificada,
158,458,2014-10-13,11:35:00-12:35:00,(EV2)Educació visual i plàstica,(ESO LOE 2 A) 2 ESO A,Absència,
155,458,2014-10-13,11:35:00-12:35:00,(EV2)Educació visual i plàstica,(ESO LOE 2 A) 2 ESO A,Justificada,
126,450,2014-10-13,12:50:00-13:45:00,UF2. Gestors d arxius web,(CFPM IC10 C) 3 CFPM,Absència,
126,450,2014-10-13,13:45:00-14:45:00,UF2. Gestors d arxius web,(CFPM IC10 C) 3 CFPM,Absència,
238,447,2014-10-13,08:15:00-09:15:00,(IA1)Llengua estrangera Anglès,(ESO LOE 1 C) 1 ESO C,Absència, 
264,447,2014-10-13,08:15:00-09:15:00,(IA1)Llengua estrangera Anglès,(ESO LOE 1 C) 1 ESO C,Absència, 
76,446,2014-10-14,08:15:00-09:15:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 B) 2 ESO B,Absència,
78,446,2014-10-14,08:15:00-09:15:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 B) 2 ESO B,Justificada,
177,446,2014-10-14,08:15:00-09:15:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 B) 2 ESO B,Justificada,
59,446,2014-10-14,08:15:00-09:15:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 B) 2 ESO B,Absència,
38,443,2014-10-14,10:40:00-11:35:00,(TE2)Tecnologies,(ESO LOE 2 A) 2 ESO A,Justificada,
158,443,2014-10-14,10:40:00-11:35:00,(TE2)Tecnologies,(ESO LOE 2 A) 2 ESO A,Justificada,
107,443,2014-10-14,10:40:00-11:35:00,(TE2)Tecnologies,(ESO LOE 2 A) 2 ESO A,Justificada,
146,443,2014-10-14,10:40:00-11:35:00,(TE2)Tecnologies,(ESO LOE 2 A) 2 ESO A,Retard,
116,443,2014-10-14,10:40:00-11:35:00,(TE2)Tecnologies,(ESO LOE 2 A) 2 ESO A,Absència,
126,450,2014-10-14,10:40:00-11:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Retard,
127,450,2014-10-14,10:40:00-11:35:00,UF2. Correu electrònic i transmissió d arxius,(CFPM IC10 C) 3 CFPM,Retard,
162,446,2014-10-14,11:35:00-12:35:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 A) 2 ESO A,Incident,
38,446,2014-10-14,11:35:00-12:35:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 A) 2 ESO A,Justificada,
107,446,2014-10-14,11:35:00-12:35:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 A) 2 ESO A,Justificada,
116,446,2014-10-14,11:35:00-12:35:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 A) 2 ESO A,Absència,
158,446,2014-10-14,11:35:00-12:35:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 A) 2 ESO A,Justificada,
317,447,2014-10-14,09:15:00-10:15:00,(IA)Llengua estrangera, Anglès,(BATX LOE 1 A) 1 BATX ,Justificada,
305,447,2014-10-14,09:15:00-10:15:00,(IA)Llengua estrangera, Anglès,(BATX LOE 1 A) 1 BATX ,Incident,S ha quedat a la cafeteria estudiant perquè tenia un examen. He trucat a la família però no m han contestat la trucada.
323,447,2014-10-14,09:15:00-10:15:00,(IA)Llengua estrangera, Anglès,(BATX LOE 1 A) 1 BATX ,Incident,S ha quedat a la cafeteria estudiant perquè tenia un examen. He trucat a la família 
310,447,2014-10-14,09:15:00-10:15:00,(IA)Llengua estrangera, Anglès,(BATX LOE 1 A) 1 BATX ,Incident,S ha quedat a la cafeteria estudiant perquè tenia un examen. He trucat a la família 
338,447,2014-10-14,09:15:00-10:15:00,(IA)Llengua estrangera, Anglès,(BATX LOE 1 A) 1 BATX ,Incident,S ha quedat a la cafeteria estudiant perquè tenia un examen. He trucat a la família 
264,447,2014-10-14,10:40:00-11:35:00,(IA1)Llengua estrangera Anglès,(ESO LOE 1 C) 1 ESO C,Absència,
78,443,2014-10-14,12:50:00-13:45:00,(TE2)Tecnologies,(ESO LOE 2 B) 2 ESO B,Justificada,
177,443,2014-10-14,12:50:00-13:45:00,(TE2)Tecnologies,(ESO LOE 2 B) 2 ESO B,Justificada,
166,443,2014-10-14,12:50:00-13:45:00,(TE2)Tecnologies,(ESO LOE 2 B) 2 ESO B,Justificada,
59,443,2014-10-14,12:50:00-13:45:00,(TE2)Tecnologies,(ESO LOE 2 B) 2 ESO B,Absència,
126,450,2014-10-14,12:50:00-13:45:00,UF2. Gestors d arxius web,(CFPM IC10 C) 3 CFPM,Retard,
127,450,2014-10-14,12:50:00-13:45:00,UF2. Gestors d arxius web,(CFPM IC10 C) 3 CFPM,Retard,
101,449,2014-10-13,11:35:00-12:35:00,(AUT3)Automatismes 3,(OPTATIVES ESO 3),Absència, 
83,424,2014-10-13,11:35:00-12:35:00,(MA3)Matemàtiques,(ESO LOE 3 A) 3 ESO A,Justificada, 
27,424,2014-10-14,10:40:00-11:35:00,(MA3)Matemàtiques,(ESO LOE 3 C) 3 ESO C,Absència,
57,424,2014-10-14,11:35:00-12:35:00,(MA3)Matemàtiques,(ESO LOE 3 A) 3 ESO A,Justificada,
112,424,2014-10-14,11:35:00-12:35:00,(MA3)Matemàtiques,(ESO LOE 3 A) 3 ESO A,Justificada,
150,439,2014-10-17,08:15:00-09:15:00,(MA2)Matemàtiques,(ESO LOE 2 A) 2 ESO A,Justificada, 
177,439,2014-10-17,09:15:00-10:15:00,(MA2)Matemàtiques,(ESO LOE 2 B) 2 ESO B,Justificada, 
76,439,2014-10-17,09:15:00-10:15:00,(MA2)Matemàtiques,(ESO LOE 2 B) 2 ESO B,Absència, 
179,439,2014-10-17,11:35:00-12:35:00,(MA2)Matemàtiques,(ESO LOE 2 C) 2 ESO C,Absència, 
175,443,2014-10-20,08:15:00-09:15:00,(TE2)Tecnologies,(ESO LOE 2 A) 2 ESO A,Absència,
38,443,2014-10-20,08:15:00-09:15:00,(TE2)Tecnologies,(ESO LOE 2 A) 2 ESO A,Absència,
149,443,2014-10-20,08:15:00-09:15:00,(TE2)Tecnologies,(ESO LOE 2 A) 2 ESO A,Justificada,
97,443,2014-10-20,08:15:00-09:15:00,(TE2)Tecnologies,(ESO LOE 2 A) 2 ESO A,Absència,
116,443,2014-10-20,08:15:00-09:15:00,(TE2)Tecnologies,(ESO LOE 2 A) 2 ESO A,Absència,
